parentName,interest,childName,date
REL UK HOLDINGS LIMITED,http://bods.openownership.org/vocabulary/shareholding,REL DAVIAN LTD,2020-09-01
REL UK HOLDINGS LIMITED,http://bods.openownership.org/vocabulary/shareholding,REL 4 LTD,2020-09-10
THE V FUND LIMITED,http://bods.openownership.org/vocabulary/shareholding,WHYTECLIFFE ROAD ESTATES LTD,2020-09-01
THE V FUND LIMITED,http://bods.openownership.org/vocabulary/shareholding,BL ACTON 6 LIMITED,2020-09-14
FRASERS GROUP PLC,http://bods.openownership.org/vocabulary/shareholding,FRASERS GROUP (EUROPEAN HOLDINGS) LIMITED,2020-09-24
GATELEY INCORPORATIONS LIMITED,http://bods.openownership.org/vocabulary/shareholding,ENSCO 1381 LIMITED,2020-09-13
GATELEY INCORPORATIONS LIMITED,http://bods.openownership.org/vocabulary/shareholding,ENSCO 1382 LIMITED,2020-09-14
GATELEY INCORPORATIONS LIMITED,http://bods.openownership.org/vocabulary/shareholding,ENSCO 1384 LIMITED,2020-09-25
GATELEY INCORPORATIONS LIMITED,http://bods.openownership.org/vocabulary/shareholding,ENSCO 1383 LIMITED,2020-09-25
GATELEY INCORPORATIONS LIMITED,http://bods.openownership.org/vocabulary/shareholding,SPV ROCK LIMITED,2020-09-28
DC13RV LIMITED,http://bods.openownership.org/vocabulary/shareholding,GUILT TRIP GROUP LIMITED,2020-09-22
HOME INSTEAD SENIOR CARE UK LIMITED,http://bods.openownership.org/vocabulary/shareholding,HI RESALES LIMITED,2020-09-15
SANSKARA LTD,http://bods.openownership.org/vocabulary/shareholding,ANANDA NURSERY & SCHOOL LTD,2020-09-25
STATKRAFT UK LTD,http://bods.openownership.org/vocabulary/shareholding,SOAY LIMITED,2020-09-22
STATKRAFT UK LTD,http://bods.openownership.org/vocabulary/shareholding,BALWEN LIMITED,2020-09-22
BMR GRANTA PARK PROPCO LIMITED,http://bods.openownership.org/vocabulary/shareholding,GRANTA ENTRANCE LIMITED,2020-09-04
VETPARTNERS LIMITED,http://bods.openownership.org/vocabulary/shareholding,THE HYPERTHYROID CAT CENTRE LIMITED,2020-09-21
VETPARTNERS LIMITED,http://bods.openownership.org/vocabulary/shareholding,THE ARKVET PRACTICE LIMITED,2020-09-16
PRINCIPAL HOTELS TOPCO 1 LIMITED,http://bods.openownership.org/vocabulary/shareholding,ONESPACE VENUES LIMITED,2020-09-30
JADIN LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE HOLDINGS LIMITED,2020-09-15
JADIN LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE GP HOLDINGS LIMITED,2020-09-15
JADIN LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE CAPITAL LIMITED,2020-09-15
JADIN LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE EXECUTIVE SERVICES LIMITED,2020-09-15
DALMORE GP HOLDINGS LIMITED,http://bods.openownership.org/vocabulary/shareholding,TTE ASSETCO 2 LIMITED,2020-09-01
MM&S JM LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE HOLDINGS LIMITED,2020-09-15
MM&S JM LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE GP HOLDINGS LIMITED,2020-09-15
MM&S JM LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE CAPITAL LIMITED,2020-09-15
MM&S JM LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE EXECUTIVE SERVICES LIMITED,2020-09-15
AGHINAGH LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE HOLDINGS LIMITED,2020-09-15
AGHINAGH LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE GP HOLDINGS LIMITED,2020-09-15
AGHINAGH LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE CAPITAL LIMITED,2020-09-15
AGHINAGH LIMITED,http://bods.openownership.org/vocabulary/shareholding,DALMORE EXECUTIVE SERVICES LIMITED,2020-09-15
Bank Of Montreal,http://bods.openownership.org/vocabulary/shareholding,BMO CAPITAL MARKETS LIMITED,2020-09-30
